"COUNTRY","Country","VAR","Variable","POPULATION","Population","TIME","Time","Value","Flag Codes","Flags"
"BEL","Belgium","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2010","2010",80,,
"BEL","Belgium","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2014","2014",79.799995,,
"BEL","Belgium","T1C7","Median net wealth per household (current prices)","TP","Total Population","2010","2010",206249,,
"BEL","Belgium","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",217943,,
"BEL","Belgium","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2010","2010",4.4450188,,
"BEL","Belgium","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2014","2014",4.2886624,,
"BEL","Belgium","SB60","Share of bottom 60% of wealth","TP","Total Population","2010","2010",17.170317,,
"BEL","Belgium","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",18.985046,,
"BEL","Belgium","PIH","Share of indebted households","TP","Total Population","2010","2010",44.806965,,
"BEL","Belgium","PIH","Share of indebted households","TP","Total Population","2014","2014",48.386173,,
"BEL","Belgium","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2010","2010",6.7364135,,
"BEL","Belgium","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2014","2014",6.8751149,,
"BEL","Belgium","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2010","2010",36.869999,"D","Difference in methodology"
"BEL","Belgium","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2014","2014",36.139999,"D","Difference in methodology"
"BEL","Belgium","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2010","2010",47.59,"D","Difference in methodology"
"BEL","Belgium","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2014","2014",47.950001,"D","Difference in methodology"
"BEL","Belgium","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2010","2010",11.860001,"D","Difference in methodology"
"BEL","Belgium","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2014","2014",11,"D","Difference in methodology"
"BEL","Belgium","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2010","2010",15.18,"D","Difference in methodology"
"BEL","Belgium","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2014","2014",13.789999,"D","Difference in methodology"
"BEL","Belgium","ST1","Share of top 1% of wealth","TP","Total Population","2010","2010",12.180297,,
"BEL","Belgium","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",12.05646,,
"BEL","Belgium","ST10","Share of top 10% of wealth","TP","Total Population","2010","2010",44.022743,,
"BEL","Belgium","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",42.495087,,
"BEL","Belgium","ST5","Share of top 5% of wealth","TP","Total Population","2010","2010",31.293131,,
"BEL","Belgium","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",29.708549,,
"CAN","Canada","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2012","2012",201400,,
"CAN","Canada","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2016","2016",244500,,
"CAN","Canada","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2012","2012",75900,,
"CAN","Canada","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2016","2016",100000,,
"CAN","Canada","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2012","2012",467400,,
"CAN","Canada","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2016","2016",574500,,
"CAN","Canada","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2012","2012",190995.14,,
"CAN","Canada","M2MR","Mean to median net wealth ratio","TP","Total Population","2012","2012",2.2067988,,
"CAN","Canada","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2012","2012",44,,
"CAN","Canada","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2016","2016",49,,
"CAN","Canada","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2012","2012",161,,
"CAN","Canada","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2016","2016",193,,
"CAN","Canada","T1C7","Median net wealth per household (current prices)","TP","Total Population","2012","2012",211800,,
"CAN","Canada","T1C7","Median net wealth per household (current prices)","TP","Total Population","2016","2016",258100,,
"CAN","Canada","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2012","2012",15.910073,,
"CAN","Canada","SB60","Share of bottom 60% of wealth","TP","Total Population","2012","2012",12.485457,,
"CAN","Canada","SB60","Share of bottom 60% of wealth","TP","Total Population","2016","2016",12.4380216598511,,
"CAN","Canada","PIH","Share of indebted households","TP","Total Population","2012","2012",45.395592,,
"CAN","Canada","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2012","2012",11.75962,,
"CAN","Canada","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2012","2012",47,,
"CAN","Canada","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2016","2016",44,,
"CAN","Canada","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2012","2012",58.999996,,
"CAN","Canada","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2016","2016",57,,
"CAN","Canada","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2012","2012",9,,
"CAN","Canada","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2016","2016",8,,
"CAN","Canada","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2012","2012",13,,
"CAN","Canada","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2016","2016",12,,
"CAN","Canada","ST1","Share of top 1% of wealth","TP","Total Population","2012","2012",15.502501,,
"CAN","Canada","ST1","Share of top 1% of wealth","TP","Total Population","2016","2016",16.7179012298584,,
"CAN","Canada","ST10","Share of top 10% of wealth","TP","Total Population","2012","2012",50.309025,,
"CAN","Canada","ST10","Share of top 10% of wealth","TP","Total Population","2016","2016",51.0771179199219,,
"CAN","Canada","ST5","Share of top 5% of wealth","TP","Total Population","2012","2012",36.498627,,
"CAN","Canada","ST5","Share of top 5% of wealth","TP","Total Population","2016","2016",37.0437393188477,,
"CHL","Chile","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2011","2011",2161073.8,,
"CHL","Chile","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2014","2014",4224361,,
"CHL","Chile","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2011","2011",4250557.5,,
"CHL","Chile","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2014","2014",7772442.5,,
"CHL","Chile","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2011","2011",27311206,,
"CHL","Chile","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",42427004,,
"CHL","Chile","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2011","2011",8369178,,
"CHL","Chile","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",12926527,,
"CHL","Chile","M2MR","Mean to median net wealth ratio","TP","Total Population","2011","2011",2.2324152,,
"CHL","Chile","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",2.3905494,,
"CHL","Chile","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2011","2011",8.3281183,,
"CHL","Chile","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2014","2014",10.48191,,
"CHL","Chile","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2011","2011",20.093491,,
"CHL","Chile","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2014","2014",14.14597,,
"CHL","Chile","T1C7","Median net wealth per household (current prices)","TP","Total Population","2011","2011",12233928,,
"CHL","Chile","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",17747804,,
"CHL","Chile","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2011","2011",5.3139458,,
"CHL","Chile","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2014","2014",7.0705442,,
"CHL","Chile","SB60","Share of bottom 60% of wealth","TP","Total Population","2011","2011",10.741879,,
"CHL","Chile","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",8.4905815,,
"CHL","Chile","PIH","Share of indebted households","TP","Total Population","2011","2011",68.005569,,
"CHL","Chile","PIH","Share of indebted households","TP","Total Population","2014","2014",71.906647,,
"CHL","Chile","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2011","2011",3.7714167,,
"CHL","Chile","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2014","2014",29.658066,,
"CHL","Chile","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2014","2014",74.838432,,
"CHL","Chile","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2014","2014",78.141151,,
"CHL","Chile","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2014","2014",21.44491,,
"CHL","Chile","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2014","2014",22.130329,,
"CHL","Chile","ST1","Share of top 1% of wealth","TP","Total Population","2011","2011",18.358637,,
"CHL","Chile","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",17.398533,,
"CHL","Chile","ST10","Share of top 10% of wealth","TP","Total Population","2011","2011",55.510658,,
"CHL","Chile","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",57.710564,,
"CHL","Chile","ST5","Share of top 5% of wealth","TP","Total Population","2011","2011",41.671307,,
"CHL","Chile","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",42.665962,,
"DEU","Germany","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2011","2011",76100,,
"DEU","Germany","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2014","2014",82000,,
"DEU","Germany","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2011","2011",27035,,
"DEU","Germany","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2014","2014",25734,,
"DEU","Germany","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2011","2011",195170,,
"DEU","Germany","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",214259,,
"DEU","Germany","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2011","2011",95490.969,,
"DEU","Germany","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",106195.14,,
"DEU","Germany","M2MR","Mean to median net wealth ratio","TP","Total Population","2011","2011",3.8001869,,
"DEU","Germany","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",3.5245764,,
"DEU","Germany","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2011","2011",28.400002,,
"DEU","Germany","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2014","2014",30.000002,,
"DEU","Germany","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2011","2011",37.299999,,
"DEU","Germany","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2014","2014",38.100002,,
"DEU","Germany","T1C7","Median net wealth per household (current prices)","TP","Total Population","2011","2011",51358,,
"DEU","Germany","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",60790,,
"DEU","Germany","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2011","2011",10.447294,,
"DEU","Germany","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2014","2014",11.009427,,
"DEU","Germany","SB60","Share of bottom 60% of wealth","TP","Total Population","2011","2011",6.5495124,,
"DEU","Germany","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",6.4569225,,
"DEU","Germany","PIH","Share of indebted households","TP","Total Population","2011","2011",47.435211,,
"DEU","Germany","PIH","Share of indebted households","TP","Total Population","2014","2014",45.1068,,
"DEU","Germany","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2011","2011",5.3434706,,
"DEU","Germany","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2014","2014",3.9665785,,
"DEU","Germany","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2011","2011",36.849998,"D","Difference in methodology"
"DEU","Germany","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2014","2014",42.439999,"D","Difference in methodology"
"DEU","Germany","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2011","2011",49.419998,"D","Difference in methodology"
"DEU","Germany","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2014","2014",54.939999,"D","Difference in methodology"
"DEU","Germany","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2011","2011",19.040001,"D","Difference in methodology"
"DEU","Germany","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2014","2014",22.280001,"D","Difference in methodology"
"DEU","Germany","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2011","2011",23.610001,"D","Difference in methodology"
"DEU","Germany","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2014","2014",27.529999,"D","Difference in methodology"
"DEU","Germany","ST1","Share of top 1% of wealth","TP","Total Population","2011","2011",24.310295,,
"DEU","Germany","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",23.661791,,
"DEU","Germany","ST10","Share of top 10% of wealth","TP","Total Population","2011","2011",59.17305,,
"DEU","Germany","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",59.758945,,
"DEU","Germany","ST5","Share of top 5% of wealth","TP","Total Population","2011","2011",45.618721,,
"DEU","Germany","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",46.255795,,
"DNK","Denmark","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2015","2015",463113,,
"DNK","Denmark","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2015","2015",854025,,
"DNK","Denmark","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2015","2015",996949,,
"DNK","Denmark","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2015","2015",516777.78,,
"DNK","Denmark","M2MR","Mean to median net wealth ratio","TP","Total Population","2015","2015",4.6812372,,
"DNK","Denmark","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2015","2015",67,,
"DNK","Denmark","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2015","2015",193,,
"DNK","Denmark","T1C7","Median net wealth per household (current prices)","TP","Total Population","2015","2015",212967,,
"DNK","Denmark","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2015","2015",33.406826,,
"DNK","Denmark","SB60","Share of bottom 60% of wealth","TP","Total Population","2015","2015",-3.8514316,,
"DNK","Denmark","PIH","Share of indebted households","TP","Total Population","2015","2015",75.750351,,
"DNK","Denmark","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2015","2015",27.344759,,
"DNK","Denmark","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2015","2015",37.101814,,
"DNK","Denmark","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2015","2015",51.509609,,
"DNK","Denmark","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2015","2015",34.037136,,
"DNK","Denmark","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2015","2015",38.600353,,
"DNK","Denmark","ST1","Share of top 1% of wealth","TP","Total Population","2015","2015",23.620983,,
"DNK","Denmark","ST10","Share of top 10% of wealth","TP","Total Population","2015","2015",63.976688,,
"DNK","Denmark","ST5","Share of top 5% of wealth","TP","Total Population","2015","2015",47.340378,,
"ESP","Spain","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2009","2009",62621,,
"ESP","Spain","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2012","2012",70152,,
"ESP","Spain","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2009","2009",32621,,
"ESP","Spain","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2012","2012",34857,,
"ESP","Spain","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2009","2009",291352,,
"ESP","Spain","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2012","2012",273579,,
"ESP","Spain","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2009","2009",108654.52,,
"ESP","Spain","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2012","2012",103816.75,,
"ESP","Spain","M2MR","Mean to median net wealth ratio","TP","Total Population","2009","2009",1.5944835,,
"ESP","Spain","M2MR","Mean to median net wealth ratio","TP","Total Population","2012","2012",1.7137353,,
"ESP","Spain","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2009","2009",17.9,,
"ESP","Spain","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2012","2012",22.6,,
"ESP","Spain","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2009","2009",113.5,,
"ESP","Spain","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2012","2012",141.8,,
"ESP","Spain","T1C7","Median net wealth per household (current prices)","TP","Total Population","2009","2009",182725,,
"ESP","Spain","T1C7","Median net wealth per household (current prices)","TP","Total Population","2012","2012",159639,,
"ESP","Spain","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2009","2009",5.6498508,,
"ESP","Spain","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2012","2012",6.5832381,,
"ESP","Spain","SB60","Share of bottom 60% of wealth","TP","Total Population","2009","2009",19.931084,,
"ESP","Spain","SB60","Share of bottom 60% of wealth","TP","Total Population","2012","2012",18.664709,,
"ESP","Spain","PIH","Share of indebted households","TP","Total Population","2009","2009",50.004208,,
"ESP","Spain","PIH","Share of indebted households","TP","Total Population","2012","2012",49.306225,,
"ESP","Spain","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2009","2009",12.126194,,
"ESP","Spain","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2012","2012",14.378227,,
"ESP","Spain","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2009","2009",46.470001,"D","Difference in methodology"
"ESP","Spain","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2012","2012",45.470001,"D","Difference in methodology"
"ESP","Spain","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2009","2009",59.369999,"D","Difference in methodology"
"ESP","Spain","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2012","2012",57.110001,"D","Difference in methodology"
